,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
,alpha_1.5_temp_0.5,1.5,0.5,45,1900,1.2092605,1.5018425,1,1.9038098536046597,0.8348229830662409,0.4987425131294876,0.5905672791798909
,alpha_1.5_temp_0.5,1.5,0.5,45,2000,1.1967199,1.5023044,1,1.873839623840712,0.8328354476938645,0.492785051,0.5809555525283018
,alpha_1.5_temp_0.5,1.5,0.5,45,2100,1.1848276,1.4949105,1,1.8936576445235993,0.8337449242571989,0.49403569129078345,0.583781221
,alpha_1.5_temp_0.5,1.5,0.5,45,2200,1.1721903,1.4951005,1,1.8907290424386234,0.8326940954526266,0.4980548736127093,0.5802421814302603
,alpha_1.5_temp_0.5,1.5,0.5,45,2300,1.1654531,1.4961789,1,1.8939327745442007,0.8308304178118706,0.49889426834881306,0.5799953850954771
,alpha_1.5_temp_0.5,1.5,0.5,45,2400,1.1532173,1.491916,1,1.899099734647704,0.8318693805585305,0.4978208993161097,0.5735304761826993
,alpha_1.5_temp_0.5,1.5,0.5,45,2500,1.1413304,1.4950175,1,1.8947676325443803,0.8300938182572524,0.4984169832269351,0.5689799661139648
,alpha_1.5_temp_0.5,1.5,0.5,45,2600,1.1308614,1.4918644,1,1.9059281645440302,0.8319390743325155,0.5002345926503962,0.5746138578156631
,alpha_1.5_temp_0.5,1.5,0.5,45,2700,1.1194528,1.4979682,1,1.8962876406503215,0.8289775609672069,0.4971592091429047,0.5728914329906305
,alpha_1.5_temp_0.5,1.5,0.5,45,2800,1.112946,1.4938585,1,1.9016884461600554,0.8301018527398506,0.4989013434140943,0.5670467593669891
,alpha_1.5_temp_0.5,1.5,0.5,45,2900,1.1023301,1.499002,1,1.8806252785418263,0.8272178436070682,0.4914337933345232,0.5631397843211889
,alpha_1.5_temp_0.5,1.5,0.5,45,3000,1.0929894,1.4930638,1,1.9076910465478172,0.8300140312264364,0.4994393227182639,0.5722303545524676
,alpha_1.5_temp_0.5,1.5,0.5,45,3100,1.0805815,1.4965198,1,1.9104959527880798,0.8284002970010041,0.4970194445682379,0.5643354735871157
,alpha_1.5_temp_0.5,1.5,0.5,45,3200,1.0728883,1.5105004,1,1.910441982,0.828525523,0.5001143699730747,0.5740746164719264
